day,alarm (%H:%M:%S)
6,05:34:31
10,05:34:55
11,06:56:23
16,07:55:40
18,10:03:07
20,07:26:46
21,08:02:55
24,08:11:26
27,09:00:12
28,09:00:36
34,10:47:49
47,13:12:23
49,10:45:50
51,11:17:59
52,11:35:54
55,11:52:30
58,12:09:52
61,12:48:52
63,10:14:27
66,13:01:03
68,14:22:47
72,14:37:10
74,13:33:54
77,14:01:11
89,15:16:18
90,14:25:07
95,14:15:51
99,15:13:20
101,13:43:61
102,14:30:40
105,14:28:58
106,13:00:33
108,14:44:04
115,15:01:47
119,15:59:57
122,15:44:26
125,14:33:06
128,12:59:23
129,13:52:61
131,15:43:60
133,14:21:56
135,16:22:57
136,15:57:25
140,15:39:35
141,14:49:14
150,15:22:15
154,14:32:04
158,16:01:12
164,15:40:12
165,15:56:59
169,15:42:20
172,15:47:27
173,14:38:21
175,14:36:44
176,15:24:22
177,17:39:47
178,14:52:59
179,13:53:10
180,14:09:40
185,15:08:09
186,16:07:01
187,16:36:37
188,13:28:08
193,16:34:15
194,14:08:17
195,16:17:26
199,17:05:33
200,14:12:40
201,14:57:39
204,15:44:01
205,15:13:14
210,17:06:25
214,14:57:13
221,16:03:13
222,15:25:59
225,14:23:16
233,16:52:24
234,15:13:38
237,15:30:17
238,16:48:41
239,16:48:16
241,15:46:58
242,16:33:53
244,17:05:56
245,16:24:56
247,16:45:40
249,15:04:55
252,16:44:29
253,17:04:17
257,15:18:50
260,18:24:48
262,15:16:27
264,17:56:57
267,16:23:08
269,15:27:42
276,16:03:30
279,18:11:22
280,17:43:18
281,16:42:42
283,16:43:30
285,18:16:02
289,17:11:03
291,18:25:01
293,15:49:27
295,16:39:25
298,15:38:45
301,17:41:05
302,17:47:34
305,17:01:13
306,16:30:40
308,15:30:38
309,17:17:13
310,16:54:53
312,16:00:07
313,18:35:36
314,18:16:13
317,16:25:35
322,16:04:52
328,17:46:14
329,16:22:37
331,19:19:23
332,14:23:15
334,16:38:60
335,18:50:53
341,16:53:20
342,18:26:31
343,17:15:08
344,16:05:60
